Name,RetentionIndex,VCP_L00_359401,VCP_L01_359419,VCP_L02_359431,VCP_L03_359410,VCP_L04_359466,VCP_L05_359402,VCP_L07_359414,VCP_L08_359403,VCP_L09_359464,VCP_L10_359449,VCP_L11_359418,VCP_L12_359419,VCP_L13_359477,VCP_L14_359454,VCP_L15_359446,VCP_L16_358492
"p_Butanoic acid, 2-methyl-, ethyl ester",2.45,32586.3237,95534.3821,176687.0977,173786.6528,314573.1215,8847.7775,99536.4689,935344.0963,2081246.367,2865662.565,2023575.535,3885024.669,1360.9783,702754.8545,835067.5038,8097.8119
"p_Pentanoic acid, 2-methyl-, ethyl ester",3.253,670.9801,19276.8618,41330.5426,21664.4046,217233.6922,49378.0479,658.5839,521803.6136,735027.4896,882403.8939,697199.6942,1801514.445,1194.3015,230451.4474,369385.8014,4523.3619
p_a-Pinene,3.376,17507.9401,720648.838,884348.9488,914906.3172,803043.4019,781153.5478,4056.1995,870178.2061,1082755.653,1010194.069,697165.0783,986346.8957,2334.2807,718140.9065,696220.6453,7363.2268
p_camphene,3.609,736.7823,74296.2615,83785.7087,124882.6579,103514.9132,75294.8615,2871.9699,0,948710.5438,923710.5036,914127.6671,1326286.992,2346.7807,183100.768,0,1421.3732
p_B-Myrcene,4.105,25888.5707,296051.972,464429.9846,326102.7424,420590.9236,350177.5924,42415.2843,710661.419,1629369.09,1953179.051,1178234.839,4250541.274,4655.1115,319890.4774,451409.3798,30413.3186
"p_Acetic acid, hexyl ester",4.427,5115.9387,11753.1574,145424.2886,559682.8844,1578584.992,543215.1663,1572.4711,2319682.354,5712181.155,6397863.546,5417115.282,11822964.2,3017.5603,1394794.837,1546043.88,1070.1612
p_D-Limonene,4.931,1782.6803,1160510.766,1252637.887,1140042.757,2376060.645,1339314.983,510.396,315475.8583,8483752.608,13044561.61,7630814.792,26594965.92,3646.6502,1358427.117,1501053,5338.9286
"p_7-Octen-2-ol, 2,6-dimethyl-",5.937,657.9485,1389.1726,107868.9241,537011.3071,474291.3173,788188.0105,10804.0682,2640.0857,1193756.86,1423000.808,6057.9212,9692406.985,3225.2435,64935.8251,43499.0211,2665.041
" p_3-Cyclohexen-1-carboxaldehyde, 3,4-dimethyl-",6.255,2601.9776,37147.0309,32441.8672,177991.0776,482301.2483,174886.4906,713.1381,1276548.448,2683832.399,3088062.198,2444384.74,6564694.349,1157.4055,680600.4064,954288.1302,1670.493
p_Linalool,6.879,2154.5042,4483.485,215675.4763,770248.8416,2676698.361,2787940.954,2432.1345,3754624.679,4911124.525,5083027.745,4169070.508,14334799.87,4489.6064,785664.4321,1240633.599,4665.7921
p_Nonanal,7.026,1283.8267,817115.8812,916306.1243,912940.36,974518.9562,615835.1553,883.6727,1264242.049,1155715.547,1430470.42,1338048.282,1877984.394,1001.5039,1004471.21,978359.5506,1949.9579
"p_3-Cyclohexen-1-carboxaldehyde, 3,4-dimethyl-",7.223,1888.0725,2391.2174,1738.842,1851.4053,373223.5678,33173.7678,892.2688,624553.5186,807324.4238,875635.8586,786730.9312,1679522.559,1061.3786,296196.6873,198508.6921,1164.7715
"p_Cyclopentasiloxane, decamethyl-",8.932,39845.1439,824683.3928,751063.6798,829686.8133,506189.1703,472792.7804,55227.5672,904534.9204,727889.8261,906398.3705,661450.7552,1806519.301,2330.3866,2140619.236,1106181.955,587.0396
"p_Acetic acid, phenylmethyl ester",9.124,9153.8614,66892.158,74020.7013,238933.6081,712674.0144,332821.6803,4695.1205,807242.9983,2567414.194,2159264.915,3305533.798,7478116.01,2634.8148,114532.0317,2405.5651,3882.545
p_Decanal,9.973,52632.034,379470.8787,430237.8824,442450.0476,1182087.241,443537.2891,1663.3005,1665399.283,2879806.1,3111537.519,3133757.577,6314970.129,3151.5219,782764.9719,852868.8825,79815.4707
unk_20230412_10.13_43_71_69_115,10.111,4208.6982,36788.2381,53068.3071,154776.7374,354138.9581,874240.6058,2492.8934,346176.5857,1301384,954881.763,1880588.067,1996359.984,2966.3618,199140.74,339333.8234,2015.1586
p_4-(2-Methoxypropan-2-yl)-1-methylcyclohex-1-ene,10.257,2084.996,80297.5714,77224.3669,761480.3604,2719866.517,689633.2944,1634.725,2950721.814,2877183.415,3138137.108,2555327.793,4474791.647,5409.5578,220651.8298,173809.8199,3138.8727
"p_2,6-Octadien-1-ol, 3,7-dimethyl-, (Z)-",10.357,8176.5022,84535.6742,84538.2145,83491.6368,363587.1988,346683.487,5311.8449,557817.9945,1141935.467,1250948.402,867770.2972,3793274.064,5478.3451,108756.3831,202354.5916,5215.985
unk_20230412_10.76_93_135_136,10.744,4675.2528,104923.1924,106278.9499,305033.5956,736554.1104,1117160.992,5390.5686,1816152.366,7814749.182,7284511.409,7780719.232,18316051.29,823.9677,1360778.178,3549148.565,570.5311
p_Bornyl acetate,11.206,5714.8406,163588.6989,3420.1395,204054.0508,1252.6613,1340.9708,2069.7794,1954710.772,3948998.043,4039936.287,2943113.877,8552009.447,4605.1996,1069631.019,11681909.69,23179.9944
p_4-tert-Butylcyclohexyl acetate,11.279,10441.6119,1278160.375,130987.6875,408341.2651,457519.4441,327912.6674,5591.4034,7522622.733,9144915.963,9684053.361,6231875.569,19394320.96,1261.6016,1286981.673,28291751.48,42950.9591
p_4-tert-Butylcyclohexyl acetate2,11.722,1077.5987,132918.7163,75487.4543,87744.8499,832203.5828,77546.3431,1730.0037,1750590.144,3390636.604,3612068.771,2717835.161,5957606.033,1717.6028,269552.1877,436604.0116,8347.4819
p_Citronellol acetate,11.886,9699.6215,197691.252,244647.2529,944555.0951,2757585.425,1070281.193,5527.3316,5738659.622,4759907.578,4868675.386,4477871.415,6694257.346,3479.7549,219989.7146,1023981.737,6355.132
"p_Undecanal, 2-methyl-",12.024,31229.1756,422591.2108,520571.4365,605619.6894,1751034.014,751397.6371,6818.7816,1702620.429,2875218.974,2689182.19,3182798.335,3099453.849,2088.9272,130371.6827,1963103.593,1473.6492
p_4-tert-Butylcyclohexyl acetate_r,12.088,4606.4812,246732.1113,338984.2523,292678.5615,1896450.959,519668.9347,1111.0802,3928852.331,7947964.732,8179757.657,6165582.082,11439471.21,6009.7425,396688.4289,510544.0866,4993.2973
p_Diphenyl ether,12.42,2269.6797,213354.8908,323228.7775,377006.7124,1360139.337,324742.2702,6524.8849,1465347.988,6751685.962,6235206.001,7705352.154,6330138.308,3160.1819,288564.1876,271671.7683,21157.2382
"p_4,7-Methano-1H-inden-6-ol, 3a,4,5,6,7,7a-hexahydro-, acetate",12.602,2157.1469,75295.9291,92294.0597,833234.0813,21425810.01,1512236.947,5958.4221,38236892.03,52217455.27,52603305.35,45949659.96,74186177.95,4994.9297,1872863.278,7034987.783,49536.0877
p_Ionone,12.643,3089.8611,257271.9473,108450.2485,159061.6311,2718884.131,522500.6796,6807.6627,4097188.567,3693020.071,3959917.057,3777000.614,4614166.805,4524.4824,583084.846,737243.8946,847.828
"p_Naphthalene, 2-methoxy-",12.85,3315.1485,393183.1029,425477.1406,785586.3751,2391498.552,1138765.978,14117.3491,6309829.542,23004464.78,20031565.6,33293509.51,18704251.77,2089.0815,1956160.162,2266001.922,2356.793
p_3-(4-Isopropylphenyl)-2-methylpropionaldehyde,12.905,5163.6334,0,0,371723.3698,1518126.151,1160082.437,3171.7134,1666818.26,2097398.84,1881895.019,2793378.888,1715433.676,11465.0844,188520.3145,81217.8536,28541.3293
p_a Isomethyl ionone,13.073,5843.4042,46890.0091,22751.2147,1120.2,6869169.191,2496136.393,7798.0443,5797184.576,65645507.12,64955470.28,54790805.44,65585055,2269.7626,1637647.228,3645664.825,884.829
p_trans-B-Ionone,13.116,5650.3066,224619.3423,42575.6502,2522547.887,4768297.079,2225360.645,23064.2533,4313864.156,17074867.33,16190733.45,16695863.24,17811335.97,4132.5826,589670.1307,780137.8915,24932.6614
"p_1-Penten-3-one, 1-(2,6,6-trimethyl-2-cyclohexen-1-yl)-",13.363,1432.9387,73124.8106,54906.6467,505375.0218,6725729.578,972169.3655,2312.7423,10218436.83,38352631.54,35182222.14,39060695.79,31244112.72,2968.8916,2266972.558,3328033.398,1937.1799
p_Lilial,13.416,22594.1431,29858.9594,15168.8903,2261597.503,3625711.885,2862772.293,53693.0136,925269.5287,3006956.686,2498632.942,4761374.275,2467625.608,3819.6381,321505.9839,0,34730.7229
"p_2-Buten-1-ol, 2-ethyl-4-(2,2,3-trimethyl-3-cyclopenten-1-yl)-",13.638,4117.0129,50214.3143,28338.9075,178217.8312,133517.3323,125208.3668,2987.4263,117217.9695,1135496.163,729559.9546,4300730.335,1436058.536,3841.092,1162.3888,182580.7823,1331.1406
unk_20230412_13.67_66_43_221,13.669,8731.5223,0,157809.3544,0,162464.7218,151226.2388,5872.2688,136632.5939,2567379.381,2296215.874,2893230.087,2267375.353,6668.1571,237222.7954,147157.4349,1016.2165
"p_B-Ionone, methyl-",13.772,17604.9803,2850.6193,9503.119,136128.6814,409518.3843,179641.6819,3534.2935,726119.1996,762929.7512,4968582.862,6331629.726,3228017.271,5379.3257,260025.5883,413497.0652,2454.0895
